x,y,z,gene
937,1561,131,bc2
799,1829,132,bc2
833,1600,132,bc2
883,1342,132,bc2
899,1405,133,bc2
899,1321,132,bc2
916,1553,133,bc2
924,1378,133,bc2
929,1313,132,bc2
940,1349,132,bc2
942,1299,132,bc2
946,1304,132,bc2
789,1825,134,bc2
855,1483,133,bc2
887,1295,134,bc2
902,1398,133,bc2
920,1323,133,bc2
940,1304,133,bc2
757,1841,135,bc2
836,1630,134,bc2
889,1380,134,bc2
890,1404,134,bc2
892,1362,135,bc2
901,1394,134,bc2
917,1296,140,bc2
922,1313,134,bc2
952,1327,136,bc2
958,1681,134,bc2
961,1306,134,bc2
965,1304,134,bc2
824,1636,136,bc2
839,1644,136,bc2
861,1441,135,bc2
872,1622,138,bc2
870,1305,136,bc2
918,1313,135,bc2
927,1306,135,bc2
935,1299,135,bc2
821,1646,136,bc2
863,1626,137,bc2
886,1559,136,bc2
891,1411,136,bc2
893,1558,136,bc2
891,1548,138,bc2
905,1378,136,bc2
931,1302,136,bc2
935,1307,136,bc2
942,1309,136,bc2
955,1300,137,bc2
779,1738,138,bc2
876,1418,138,bc2
884,1416,137,bc2
887,1307,137,bc2
890,1350,137,bc2
891,1312,137,bc2
988,1294,138,bc2
818,1649,140,bc2
874,1365,138,bc2
882,1570,138,bc2
917,1331,138,bc2
934,1319,138,bc2
938,1296,138,bc2
772,1741,139,bc2
867,1418,141,bc2
883,1698,139,bc2
890,1329,139,bc2
907,1320,139,bc2
908,1324,139,bc2
943,1309,142,bc2
767,1741,140,bc2
829,1628,140,bc2
872,1333,140,bc2
887,1298,140,bc2
907,1381,140,bc2
921,1411,140,bc2
924,1327,140,bc2
927,1406,140,bc2
929,1355,140,bc2
939,1302,140,bc2
944,1326,142,bc2
959,1309,140,bc2
837,1640,141,bc2
837,1632,141,bc2
877,1435,141,bc2
897,1460,141,bc2
901,1327,143,bc2
912,1326,142,bc2
920,1309,141,bc2
920,1347,141,bc2
924,1311,143,bc2
932,1329,143,bc2
934,1311,141,bc2
973,1315,141,bc2
905,1314,142,bc2
930,1294,142,bc2
928,1304,142,bc2
934,1306,142,bc2
938,1297,142,bc2
954,1299,142,bc2
960,1305,142,bc2
961,1309,142,bc2
822,1643,143,bc2
829,1636,143,bc2
908,1322,143,bc2
914,1318,143,bc2
918,1352,143,bc2
945,1334,143,bc2
966,1335,143,bc2
814,1769,144,bc2
822,1772,144,bc2
859,1300,144,bc2
865,1304,144,bc2
889,1300,144,bc2
896,1301,144,bc2
933,1323,144,bc2
958,1316,144,bc2
972,1296,144,bc2
789,1644,145,bc2
883,1300,145,bc2
897,1315,145,bc2
898,1306,145,bc2
904,1311,145,bc2
928,1323,145,bc2
942,1295,145,bc2
646,1706,146,bc2
794,1648,147,bc2
810,1641,146,bc2
902,1307,147,bc2
922,1323,148,bc2
926,1332,146,bc2
960,1303,146,bc2
620,1684,147,bc2
652,1711,148,bc2
869,1330,148,bc2
900,1314,147,bc2
931,1336,147,bc2
941,1335,147,bc2
951,1318,147,bc2
